run,avarage
0,350.058022138426
1,350.40882567469004
2,379.8252141982864
3,357.67015961983674
4,340.9293273324413
5,391.6547211350294
6,372.71674816625915
7,410.1314236537989
8,363.67970272904483
9,366.37268518518516
