run,avarage
0,1112.9680586283187
1,1255.5460750853242
2,1072.813841496973
3,1146.5665879738924
4,1059.0380005448108
5,1107.7815265486727
6,1047.3869161431303
7,1191.1714925164358
8,1030.6352347161571
9,1150.1736886160713
