,road,id,model_type,name,lat,lon,length,condition,bridge_length
964,N1,1000964,bridge,,21.4298882,92.0279716,45.99999999999227,A,0.8
965,N1,1000965,bridge,,21.4262493,92.0235827,612.9999999999995,B,1.5
966,N1,1000966,link,,21.4258604,92.023166,64.99999999999773,,
967,N1,1000967,link,,21.4258049,92.0232493,13.000000000033651,,
968,N1,1000968,bridge,,21.4225549,92.0274438,581.9999999999936,A,1.3
969,N1,1000969,bridge,,21.4220827,92.0278604,70.99999999996953,A,1.3
970,N1,1000970,link,,21.4199716,92.0302493,326.0000000000218,,
971,N1,1000971,bridge,,21.4191104,92.032416,265.9999999999627,A,1.3
972,N1,1000972,bridge,,21.4165,92.0353052,449.0000000000123,B,1.3
973,N1,1000973,bridge,,21.4156389,92.0367219,182.00000000001637,C,7.1
974,N1,1000974,link,,21.4150556,92.037833,134.9999999999909,,
975,N1,1000975,bridge,,21.4135833,92.0393886,235.00000000001364,A,2.5
976,N1,1000976,bridge,,21.4120556,92.039583,367.00000000001864,A,1.3
977,N1,1000977,bridge,,21.4115,92.0438052,171.99999999996862,C,2.2
978,N1,1000978,link,,21.4111667,92.0441108,48.00000000000182,,
979,N1,1000979,bridge,,21.4103056,92.0453052,163.0000000000109,A,2.5
980,N1,1000980,link,,21.4101111,92.0458052,57.00000000001637,,
981,N1,1000981,bridge,,21.41025,92.0480552,242.999999999995,A,21.5
982,N1,1000982,bridge,,21.4103333,92.0508333,324.99999999998863,A,21.5
983,N1,1000983,bridge,,21.4094167,92.0531944,272.9999999999677,C,11.3
984,N1,1000984,link,,21.4090833,92.05475,180.00000000000682,,
985,N1,1000985,bridge,,21.4079722,92.056,210.00000000003638,A,14.1
986,N1,1000986,bridge,,21.4067222,92.0570556,168.99999999998272,A,14.1
987,N1,1000987,bridge,,21.4058611,92.0594167,293.00000000000637,B,2.3
988,N1,1000988,link,,21.4040556,92.0619722,267.99999999997226,,
989,N1,1000989,bridge,,21.4039167,92.0628333,157.0000000000391,C,24.1
990,N1,1000990,bridge,,21.4008889,92.0658611,480.99999999999454,C,24.1
991,N1,1000991,bridge,,21.3986941,92.0665556,262.9999999999768,C,24.1
992,N1,1000992,link,,21.398583,92.0665833,14.999999999986358,,
993,N1,1000993,bridge,,21.3971663,92.0668882,165.99999999999682,C,24.1
994,N1,1000994,link,,21.3969719,92.066916,19.000000000005457,,
