run,avarage
0,566.1108309166561
1,531.2244055068836
2,725.2860270444302
3,522.2415730337078
4,542.6910324039186
5,527.0020002500313
6,605.4238552997723
7,622.149607296681
8,595.6302999620301
9,677.8518899460015
