,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry
41,41,N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,,bridge,352.00000000000034,1000041,,C,Unknown,159.52,N1LRP017c,N1LRP017,POINT (90.5772771 23.6540556)
42,42,N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,,link,30.000000000001137,1000042,,,Unknown,,N1LRP017d,N1LRP017,POINT (90.5774993 23.6539167)
43,43,N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,,link,289.99999999999915,1000043,,,Unknown,,N1LRP018,N1LRP018,POINT (90.5798882 23.6525278)
44,44,N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,,bridge,338.99999999999864,1000044,,A,Unknown,20.5,N1LRP018a,N1LRP018,POINT (90.5826382 23.6508889)
45,45,N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,,link,41.00000000000037,1000045,,,Unknown,,N1LRP018b,N1LRP018,POINT (90.5829993 23.6506944)
46,46,N1,18.524,LRP019,23.6476108,90.588083,,KmPost,,link,620.000000000001,1000046,,,Unknown,,N1LRP019,N1LRP019,POINT (90.588083 23.6476108)
47,47,N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,,bridge,353.9999999999992,1000047,,C,Unknown,40.5,N1LRP019a,N1LRP019,POINT (90.5899163 23.6449441)
48,48,N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,,bridge,643.0000000000007,1000048,,B,Unknown,40.33,N1LRP019b,N1LRP019,POINT (90.5926941 23.6397497)
49,49,N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,,link,3.0000000000001137,1000049,,,Unknown,,N1LRP020,N1LRP020,POINT (90.5927219 23.6396941)
50,50,N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",,link,519.9999999999995,1000050,,,Unknown,,N1LRP020a,N1LRP020,POINT (90.5948052 23.6358608)
51,51,N1,20.342,LRP020b,23.6341108,90.5970274,BS,Bridge,,bridge,297.9999999999983,1000051,,B,Unknown,10.4,N1LRP020b,N1LRP020,POINT (90.5970274 23.6341108)
52,52,N1,20.442,LRP020c,23.6335552,90.5976941,BE,Bridge,,link,100.00000000000142,1000052,,,Unknown,,N1LRP020c,N1LRP020,POINT (90.5976941 23.6335552)
53,53,N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,,link,82.00000000000074,1000053,,,Unknown,,N1LRP021,N1LRP021,POINT (90.5982774 23.6330549)
54,54,N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,,bridge,974.9999999999978,1000054,,A,Unknown,86.92,N1LRP021a,N1LRP021,POINT (90.6042222 23.6262771)
55,55,N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,,link,130.00000000000256,1000055,,,Unknown,,N1LRP022,N1LRP022,POINT (90.6049722 23.6252216)
56,56,N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,,bridge,135.99999999999923,1000056,,B,Unknown,5.5,N1LRP022a,N1LRP022,POINT (90.6055278 23.6242216)
57,57,N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,,link,227.99999999999798,1000057,,,Unknown,,N1LRP022b,N1LRP022,POINT (90.6066944 23.6224993)
58,58,N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,,bridge,259.00000000000034,1000058,,B,Unknown,5.5,N1LRP022c,N1LRP022,POINT (90.6079722 23.6204716)
59,59,N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,,link,121.99999999999989,1000059,,,Unknown,,N1LRP022d,N1LRP022,POINT (90.6085833 23.6195271)
60,60,N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,,link,255.00000000000256,1000060,,,Unknown,,N1LRP023,N1LRP023,POINT (90.6096944 23.6173604)
61,61,N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,,bridge,934.9999999999987,1000061,,A,Unknown,224.8,N1LRP023a,N1LRP023,POINT (90.6121944 23.6095556)
62,62,N1,23.629,LRP024,23.609,90.6124722,,KmPost,,link,65.00000000000128,1000062,,,Unknown,,N1LRP024,N1LRP024,POINT (90.6124722 23.609)
63,63,N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,,bridge,873.9999999999987,1000063,,A,Unknown,924.85,N1LRP024a,N1LRP024,POINT (90.6159722 23.6018611)
64,64,N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,,link,126.00000000000122,1000064,,,Unknown,,N1LRP025,N1LRP025,POINT (90.6165556 23.6009444)
65,65,N1,25.629,LRP026,23.5959997,90.624666,,KmPost,,link,1000.0,1000065,,,Unknown,,N1LRP026,N1LRP026,POINT (90.624666 23.5959997)
66,66,N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,,bridge,9.99999999999801,1000066,,A,Unknown,5.6,N1LRP026a,N1LRP026,POINT (90.6246938 23.5959441)
67,67,N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,,bridge,673.9999999999995,1000067,,A,Unknown,5.5,N1LRP026b,N1LRP026,POINT (90.6293327 23.5917497)
68,68,N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,,link,316.0000000000025,1000068,,,Unknown,,N1LRP027,N1LRP027,POINT (90.6313882 23.5896108)
69,69,N1,27.503,LRP027a,23.5837497,90.6369441,,Bridge,,bridge,873.9999999999987,1000069,,A,Unknown,5.6,N1LRP027a,N1LRP027,POINT (90.6369441 23.5837497)
70,70,N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,,link,126.00000000000122,1000070,,,Unknown,,N1LRP028,N1LRP028,POINT (90.6378886 23.5828327)
71,71,N1,27.668,LRP028a,23.5825827,90.6381386,BS,Bridge,,bridge,38.999999999997925,1000071,,A,Unknown,173.25,N1LRP028a,N1LRP028,POINT (90.6381386 23.5825827)
72,72,N1,28.324,LRP028b,23.577916,90.6419719,BE,Bridge,,link,656.0000000000024,1000072,,,Unknown,,N1LRP028b,N1LRP028,POINT (90.6419719 23.577916)
73,73,N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,,bridge,38.999999999997925,1000073,,A,Unknown,172.1,N1LRP028c,N1LRP028,POINT (90.6421108 23.5776104)
74,74,N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,,link,396.0000000000008,1000074,,,Unknown,,N1LRP029,N1LRP029,POINT (90.6436941 23.5745271)
75,75,N1,29.067,LRP029a,23.572166,90.6451108,BS,Bridge,,bridge,307.99999999999983,1000075,,A,Unknown,29.85,N1LRP029a,N1LRP029,POINT (90.6451108 23.572166)
76,76,N1,29.113,LRP029b,23.5718327,90.6453052,BE,Bridge,,link,45.999999999999375,1000076,,,Unknown,,N1LRP029b,N1LRP029,POINT (90.6453052 23.5718327)
77,77,N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,,link,646.0000000000008,1000077,,,Unknown,,N1LRP030,N1LRP030,POINT (90.6481663 23.5666111)
78,78,N1,30.127,LRP030a,23.5639167,90.6501944,BS,Bridge,,bridge,367.9999999999985,1000078,,A,Unknown,34.7,N1LRP030a,N1LRP030,POINT (90.6501944 23.5639167)
79,79,N1,30.165,LRP030b,23.5636944,90.6504722,BE,Bridge,,link,38.000000000000256,1000079,,,Unknown,,N1LRP030b,N1LRP030,POINT (90.6504722 23.5636944)
80,80,N1,30.697,LRP030c,23.5604167,90.6542222,BS,Bridge,,bridge,532.0,1000080,,A,Unknown,34.7,N1LRP030c,N1LRP030,POINT (90.6542222 23.5604167)
81,81,N1,30.735,LRP030d,23.5602222,90.6545,BE,Bridge,,link,38.000000000000256,1000081,,,Unknown,,N1LRP030d,N1LRP030,POINT (90.6545 23.5602222)
82,82,N1,30.774,LRP031,23.5599722,90.6548056,,KmPost,,link,39.00000000000148,1000082,,,Unknown,,N1LRP031,N1LRP031,POINT (90.6548056 23.5599722)
83,83,N1,30.936,LRP031a,23.5590278,90.6559444,,"SideRoad,Right",,link,161.99999999999903,1000083,,,Unknown,,N1LRP031a,N1LRP031,POINT (90.6559444 23.5590278)
84,84,N1,31.348,LRP031b,23.5564444,90.6588611,BS,Bridge,,bridge,411.99999999999903,1000084,,A,Unknown,27.4,N1LRP031b,N1LRP031,POINT (90.6588611 23.5564444)
85,85,N1,31.388,LRP031c,23.5562222,90.6591389,BE,Bridge,,link,40.0000000000027,1000085,,,Unknown,,N1LRP031c,N1LRP031,POINT (90.6591389 23.5562222)
86,86,N1,31.783,LRP032,23.5538056,90.6619722,,KmPost,,link,394.99999999999955,1000086,,,Unknown,,N1LRP032,N1LRP032,POINT (90.6619722 23.5538056)
87,87,N1,32.025,LRP032a,23.5523333,90.6636667,,Culvert,,bridge,241.99999999999733,1000087,,A,Unknown,29.85,N1LRP032a,N1LRP032,POINT (90.6636667 23.5523333)
88,88,N1,32.607,LRP033,23.5487497,90.6678327,,KmPost,,link,582.0000000000007,1000088,,,Unknown,,N1LRP033,N1LRP033,POINT (90.6678327 23.5487497)
89,89,N1,32.831,LRP033a,23.5474163,90.6694438,BS,Bridge,,bridge,224.00000000000375,1000089,,A,Unknown,9.1,N1LRP033a,N1LRP033,POINT (90.6694438 23.5474163)
90,90,N1,32.908,LRP033b,23.5469441,90.6699993,BE,Bridge,,link,76.99999999999818,1000090,,,Unknown,,N1LRP033b,N1LRP033,POINT (90.6699993 23.5469441)
91,91,N1,33.351,LRP033c,23.5442219,90.6731104,,Culvert,,bridge,442.99999999999784,1000091,,A,Unknown,9.1,N1LRP033c,N1LRP033,POINT (90.6731104 23.5442219)
92,92,N1,33.607,LRP034,23.542583,90.6749438,,KmPost,,link,256.0000000000002,1000092,,,Unknown,,N1LRP034,N1LRP034,POINT (90.6749438 23.542583)
93,93,N1,34.607,LRP035,23.5362497,90.681916,,KmPost,,link,1000.0,1000093,,,Unknown,,N1LRP035,N1LRP035,POINT (90.681916 23.5362497)
94,94,N1,34.641,LRP035a,23.536083,90.6821382,BS,Bridge,,bridge,33.99999999999892,1000094,,A,Unknown,9.5,N1LRP035a,N1LRP035,POINT (90.6821382 23.536083)
95,95,N1,34.681,LRP035b,23.5358608,90.6823604,BE,Bridge,,link,39.99999999999915,1000095,,,Unknown,,N1LRP035b,N1LRP035,POINT (90.6823604 23.5358608)
96,96,N1,34.956,LRP035c,23.5341386,90.6843052,,Culvert,,bridge,275.0000000000057,1000096,,A,Unknown,9.5,N1LRP035c,N1LRP035,POINT (90.6843052 23.5341386)
97,97,N1,35.607,LRP036,23.5301938,90.688833,,KmPost,,link,650.9999999999962,1000097,,,Unknown,,N1LRP036,N1LRP036,POINT (90.688833 23.5301938)
98,98,N1,36.271,LRP036a,23.529916,90.6952219,,Bridge,,bridge,664.0000000000015,1000098,,A,Unknown,25.45,N1LRP036a,N1LRP036,POINT (90.6952219 23.529916)
99,99,N1,36.607,LRP037,23.5301382,90.6984997,,KmPost,,link,335.9999999999985,1000099,,,Unknown,,N1LRP037,N1LRP037,POINT (90.6984997 23.5301382)
100,100,N1,37.607,LRP038,23.5307493,90.7082778,,KmPost,,link,1000.0,1000100,,,Unknown,,N1LRP038,N1LRP038,POINT (90.7082778 23.5307493)
101,101,N1,37.685,LRP038a,23.5307771,90.7090278,,Bridge,,link,78.00000000000296,1000101,,,Unknown,,N1LRP038a,N1LRP038,POINT (90.7090278 23.5307771)
102,102,N1,38.04,LRP038b,23.5313882,90.7153611,,Others / Others,,link,354.9999999999969,1000102,,,Unknown,,N1LRP038b,N1LRP038,POINT (90.7153611 23.5313882)
103,103,N1,38.466,LRP038c,23.5314716,90.7172216,,"SideRoad,Right",,link,426.00000000000193,1000103,,,Unknown,,N1LRP038c,N1LRP038,POINT (90.7172216 23.5314716)
104,104,N1,38.543,LRP038d,23.5315271,90.7173604,BS,Bridge,,link,76.99999999999818,1000104,,,Unknown,,N1LRP038d,N1LRP038,POINT (90.7173604 23.5315271)
105,105,N1,38.56,LRP038e,23.5315827,90.7176104,BE,Bridge,,link,17.000000000003013,1000105,,,Unknown,,N1LRP038e,N1LRP038,POINT (90.7176104 23.5315827)
106,106,N1,38.607,LRP039,23.5317216,90.7180271,,KmPost,,link,46.999999999997044,1000106,,,Unknown,,N1LRP039,N1LRP039,POINT (90.7180271 23.5317216)
107,107,N1,39.12,LRP039a,23.5322346,90.7226298386,,Culvert,,link,512.9999999999982,1000107,,,Unknown,,N1LRP039a,N1LRP039,POINT (90.7226298386 23.5322346)
108,108,N1,39.607,LRP040,23.5327216,90.7269993,,KmPost,,link,487.0000000000019,1000108,,,Unknown,,N1LRP040,N1LRP040,POINT (90.7269993 23.5327216)
109,109,N1,40.607,LRP041,23.528916,90.7356108,,KmPost,,link,1000.0,1000109,,,Unknown,,N1LRP041,N1LRP041,POINT (90.7356108 23.528916)
110,110,N1,41.261,LRP042,23.5289993,90.7419441,,KmPost,,link,654.0000000000034,1000110,,,Unknown,,N1LRP042,N1LRP042,POINT (90.7419441 23.5289993)
111,111,N1,42.228,LRP042a,23.5293882,90.7514167,BS,Bridge,,link,966.9999999999987,1000111,,,Unknown,,N1LRP042a,N1LRP042,POINT (90.7514167 23.5293882)
112,112,N1,42.245,LRP042b,23.5293882,90.7515833,BE,Bridge,,link,16.999999999995907,1000112,,,Unknown,,N1LRP042b,N1LRP042,POINT (90.7515833 23.5293882)
113,113,N1,42.269,LRP043,23.529416,90.75175,,KmPost,,link,24.00000000000091,1000113,,,Unknown,,N1LRP043,N1LRP043,POINT (90.75175 23.529416)
114,114,N1,43.269,LRP044,23.5299993,90.7615,,KmPost,,link,1000.0,1000114,,,Unknown,,N1LRP044,N1LRP044,POINT (90.7615 23.5299993)
115,115,N1,44.269,LRP045,23.5304438,90.7713049,,KmPost,,link,1000.0,1000115,,,Unknown,,N1LRP045,N1LRP045,POINT (90.7713049 23.5304438)
116,116,N1,44.454,LRP045a,23.5304993,90.7731104,,Culvert,,link,185.00000000000227,1000116,,,Unknown,,N1LRP045a,N1LRP045,POINT (90.7731104 23.5304993)
117,117,N1,45.269,LRP046,23.5308049,90.7811104,,KmPost,,link,814.9999999999977,1000117,,,Unknown,,N1LRP046,N1LRP046,POINT (90.7811104 23.5308049)
118,118,N1,45.322,LRP046a,23.5307493,90.7816104,,"SideRoad,Right",,link,53.00000000000438,1000118,,,Unknown,,N1LRP046a,N1LRP046,POINT (90.7816104 23.5307493)
119,119,N1,45.388,LRP046b,23.530666,90.7821938,,"SideRoad,Left",,link,65.9999999999954,1000119,,,Unknown,,N1LRP046b,N1LRP046,POINT (90.7821938 23.530666)
120,120,N1,46.161,LRP046c,23.5312216,90.7895552,,Culvert,,bridge,773.0000000000032,1000120,,C,Unknown,3.9,N1LRP046c,N1LRP046,POINT (90.7895552 23.5312216)
121,121,N1,46.269,LRP047,23.531166,90.7907219,,KmPost,,link,107.99999999999699,1000121,,,Unknown,,N1LRP047,N1LRP047,POINT (90.7907219 23.531166)
122,122,N1,47.224,LRP047a,23.5306938,90.7924441,,"SideRoad,Right",,link,954.9999999999983,1000122,,,Unknown,,N1LRP047a,N1LRP047,POINT (90.7924441 23.5306938)
123,123,N1,47.269,LRP048,23.5308604,90.8002222,,KmPost,,link,45.000000000001705,1000123,,,Unknown,,N1LRP048,N1LRP048,POINT (90.8002222 23.5308604)
124,124,N1,47.672,LRP048a,23.5308882,90.8041389,BS,Bridge,,link,402.9999999999987,1000124,,,Unknown,,N1LRP048a,N1LRP048,POINT (90.8041389 23.5308882)
125,125,N1,47.692,LRP048b,23.530916,90.8043611,BE,Bridge,,link,20.000000000003126,1000125,,,Unknown,,N1LRP048b,N1LRP048,POINT (90.8043611 23.530916)
126,126,N1,48.269,LRP049,23.5316382,90.8099167,,KmPost,,link,576.9999999999982,1000126,,,Unknown,,N1LRP049,N1LRP049,POINT (90.8099167 23.5316382)
127,127,N1,49.269,LRP050,23.5332493,90.8194716,,KmPost,,link,1000.0,1000127,,,Unknown,,N1LRP050,N1LRP050,POINT (90.8194716 23.5332493)
128,128,N1,49.863,LRP050a,23.5346663,90.8249716,BS,Bridge,,link,594.0000000000011,1000128,,,Unknown,,N1LRP050a,N1LRP050,POINT (90.8249716 23.5346663)
129,129,N1,49.879,LRP050b,23.5347219,90.8251104,BE,Bridge,,link,15.999999999998238,1000129,,,Unknown,,N1LRP050b,N1LRP050,POINT (90.8251104 23.5347219)
130,130,N1,50.269,LRP051,23.5344997,90.8287216,,KmPost,,link,390.00000000000057,1000130,,,Unknown,,N1LRP051,N1LRP051,POINT (90.8287216 23.5344997)
131,131,N1,51.269,LRP052,23.5292216,90.8365274,,KmPost,,link,1000.0,1000131,,,Unknown,,N1LRP052,N1LRP052,POINT (90.8365274 23.5292216)
132,132,N1,51.636,LRP052a,23.5270549,90.8391386,,Culvert,,link,367.00000000000443,1000132,,,Unknown,,N1LRP052a,N1LRP052,POINT (90.8391386 23.5270549)
133,133,N1,52.269,LRP053,23.523166,90.8438886,,KmPost,,link,632.9999999999956,1000133,,,Unknown,,N1LRP053,N1LRP053,POINT (90.8438886 23.523166)
134,134,N1,53.269,LRP054,23.5174993,90.8513889,,KmPost,,link,1000.0,1000134,,,Unknown,,N1LRP054,N1LRP054,POINT (90.8513889 23.5174993)
135,135,N1,54.269,LRP055,23.5170827,90.8607778,,KmPost,,link,1000.0,1000135,,,Unknown,,N1LRP055,N1LRP055,POINT (90.8607778 23.5170827)
136,136,N1,55.269,LRP056,23.5135833,90.8697771,,KmPost,,link,1000.0,1000136,,,Unknown,,N1LRP056,N1LRP056,POINT (90.8697771 23.5135833)
137,137,N1,55.333,LRP056a,23.5133056,90.8703049,BS,Bridge,,bridge,64.00000000000006,1000137,,C,Unknown,28.9,N1LRP056a,N1LRP056,POINT (90.8703049 23.5133056)
138,138,N1,55.375,LRP056b,23.5131111,90.8706382,BE,Bridge,,link,42.00000000000159,1000138,,,Unknown,,N1LRP056b,N1LRP056,POINT (90.8706382 23.5131111)
139,139,N1,55.477,LRP056c,23.5126667,90.871416,,"SideRoad,Left",,link,101.99999999999676,1000139,,,Unknown,,N1LRP056c,N1LRP056,POINT (90.871416 23.5126667)
140,140,N1,56.269,LRP057,23.5088056,90.8778604,,KmPost,,link,792.0000000000016,1000140,,,Unknown,,N1LRP057,N1LRP057,POINT (90.8778604 23.5088056)
141,141,N1,57.269,LRP058,23.506,90.8869163,,KmPost,,link,1000.0,1000141,,,Unknown,,N1LRP058,N1LRP058,POINT (90.8869163 23.506)
142,142,N1,58.191,LRP058a,23.5056111,90.8958886,,Culvert,,link,922.0000000000041,1000142,,,Unknown,,N1LRP058a,N1LRP058,POINT (90.8958886 23.5056111)
143,143,N1,58.269,LRP059,23.5056389,90.8966108,,KmPost,,link,77.99999999999585,1000143,,,Unknown,,N1LRP059,N1LRP059,POINT (90.8966108 23.5056389)
144,144,N1,59.269,LRP060,23.5062778,90.9063889,,KmPost,,link,1000.0,1000144,,,Unknown,,N1LRP060,N1LRP060,POINT (90.9063889 23.5062778)
145,145,N1,60.18,LRP060a,23.50575,90.91525,,Culvert,,link,911.0000000000014,1000145,,,Unknown,,N1LRP060a,N1LRP060,POINT (90.91525 23.50575)
146,146,N1,60.269,LRP061,23.5057222,90.9160278,,KmPost,,link,88.99999999999864,1000146,,,Unknown,,N1LRP061,N1LRP061,POINT (90.9160278 23.5057222)
147,147,N1,61.269,LRP062,23.5055278,90.9257216,,KmPost,,link,1000.0,1000147,,,Unknown,,N1LRP062,N1LRP062,POINT (90.9257216 23.5055278)
148,148,N1,62.269,LRP063,23.5042778,90.9354163,,KmPost,,link,1000.0,1000148,,,Unknown,,N1LRP063,N1LRP063,POINT (90.9354163 23.5042778)
149,149,N1,62.278,LRP063a,23.5043333,90.9354719,,"SideRoad,Left",,link,9.000000000000341,1000149,,,Unknown,,N1LRP063a,N1LRP063,POINT (90.9354719 23.5043333)
150,150,N1,62.542,LRP063b,23.5038611,90.9371386,,Culvert,,link,264.0000000000029,1000150,,,Unknown,,N1LRP063b,N1LRP063,POINT (90.9371386 23.5038611)
