,road,lrp,id,lat,lon,condition,bridge_length,Truck number,Truck percentage
66,N1,LRP025,1000064,23.6009444,90.6165556,NaN,NaN,13033.0,0.44975498654151425
67,N1,LRP026,1000065,23.5959997,90.624666,NaN,NaN,13033.0,0.44975498654151425
68,N1,LRP026a,1000066,23.5959441,90.6246938,A,5.6,13033.0,0.44975498654151425
69,N1,LRP026b,1000067,23.5917497,90.6293327,A,5.5,13033.0,0.44975498654151425
70,N1,LRP027,1000068,23.5896108,90.6313882,NaN,NaN,13033.0,0.44975498654151425
71,N1,LRP027a,1000069,23.5837497,90.6369441,A,5.6,13033.0,0.44975498654151425
72,N1,LRP028,1000070,23.5828327,90.6378886,NaN,NaN,13033.0,0.44975498654151425
73,N1,LRP028a,1000071,23.5825827,90.6381386,A,173.25,13033.0,0.44975498654151425
74,N1,LRP028b,1000072,23.577916,90.6419719,NaN,NaN,13033.0,0.44975498654151425
75,N1,LRP028c,1000073,23.5776104,90.6421108,A,172.1,13033.0,0.44975498654151425
76,N1,LRP029,1000074,23.5745271,90.6436941,NaN,NaN,13033.0,0.44975498654151425
77,N1,LRP029a,1000075,23.572166,90.6451108,A,29.85,13033.0,0.44975498654151425
78,N1,LRP029b,1000076,23.5718327,90.6453052,NaN,NaN,13033.0,0.44975498654151425
79,N1,LRP030,1000077,23.5666111,90.6481663,NaN,NaN,13033.0,0.44975498654151425
80,N1,LRP030a,1000078,23.5639167,90.6501944,A,34.7,13033.0,0.44975498654151425
81,N1,LRP030b,1000079,23.5636944,90.6504722,NaN,NaN,13033.0,0.44975498654151425
82,N1,LRP030c,1000080,23.5604167,90.6542222,A,34.7,13033.0,0.44975498654151425
83,N1,LRP030d,1000081,23.5602222,90.6545,NaN,NaN,13033.0,0.44975498654151425
84,N1,LRP031,1000082,23.5599722,90.6548056,NaN,NaN,13033.0,0.44975498654151425
85,N1,LRP031a,1000083,23.5589167,90.6559722,NaN,NaN,13033.0,0.44975498654151425
86,N1,LRP031b,1000084,23.5564444,90.6588611,A,27.4,13033.0,0.44975498654151425
87,N1,LRP031c,1000085,23.5562222,90.6591389,NaN,NaN,13033.0,0.44975498654151425
88,N1,LRP032,1000086,23.5538056,90.6619722,NaN,NaN,13033.0,0.44975498654151425
89,N1,LRP032a,1000087,23.5523333,90.6636667,A,29.85,13033.0,0.44975498654151425
90,N1,LRP033,1000088,23.5487497,90.6678327,NaN,NaN,13033.0,0.44975498654151425
91,N1,LRP033a,1000089,23.5474163,90.6694438,A,9.1,13033.0,0.44975498654151425
92,N1,LRP033b,1000090,23.5469441,90.6699993,NaN,NaN,13033.0,0.44975498654151425
93,N1,LRP033c,1000091,23.5442219,90.6731104,A,9.1,13033.0,0.44975498654151425
94,N1,LRP034,1000092,23.542583,90.6749438,NaN,NaN,13033.0,0.44975498654151425
95,N1,LRP035,1000093,23.5362497,90.681916,NaN,NaN,13033.0,0.44975498654151425
96,N1,LRP035a,1000094,23.536083,90.6821382,A,9.5,13033.0,0.44975498654151425
97,N1,LRP035b,1000095,23.5358608,90.6823604,NaN,NaN,13033.0,0.44975498654151425
98,N1,LRP035c,1000096,23.5341386,90.6843052,A,9.5,13033.0,0.44975498654151425
99,N1,LRP036,1000097,23.5301938,90.688833,NaN,NaN,13033.0,0.44975498654151425
100,N1,LRP036a,1000098,23.529916,90.6952219,A,25.45,13033.0,0.44975498654151425
101,N1,LRP036a,1000098,23.529916,90.6952219,A,25.45,13033.0,0.44975498654151425
102,N1,LRP037,1000099,23.5301382,90.6984997,NaN,NaN,13033.0,0.44975498654151425
103,N1,LRP038,1000100,23.5307493,90.7082778,NaN,NaN,13033.0,0.44975498654151425
104,N1,LRP038a,1000101,23.5307771,90.7090278,NaN,NaN,13033.0,0.44975498654151425
105,N1,LRP038b,1000102,23.5313882,90.7153611,NaN,NaN,13033.0,0.44975498654151425
106,N1,LRP038c,1000103,23.5337219,90.7249438,NaN,NaN,12199.0,0.5317553724772242
107,N1,LRP038d,1000104,23.5315271,90.7173604,NaN,NaN,12199.0,0.5317553724772242
108,N1,LRP038e,1000105,23.5315827,90.7176104,NaN,NaN,12199.0,0.5317553724772242
109,N1,LRP039,1000106,23.5317216,90.7180271,NaN,NaN,12199.0,0.5317553724772242
110,N1,LRP039a,1000107,23.5322346,90.7226298386,NaN,NaN,12199.0,0.5317553724772242
111,N1,LRP040,1000108,23.5327216,90.7269993,NaN,NaN,12199.0,0.5317553724772242
112,N1,LRP041,1000109,23.528916,90.7356108,NaN,NaN,12199.0,0.5317553724772242
113,N1,LRP042,1000110,23.5289993,90.7419441,NaN,NaN,12199.0,0.5317553724772242
114,N1,LRP042a,1000111,23.5293882,90.7514167,NaN,NaN,12199.0,0.5317553724772242
115,N1,LRP042b,1000112,23.5293882,90.7515833,NaN,NaN,12199.0,0.5317553724772242
116,N1,LRP043,1000113,23.529416,90.75175,NaN,NaN,12199.0,0.5317553724772242
117,N1,LRP044,1000114,23.5299993,90.7615,NaN,NaN,12199.0,0.5317553724772242
118,N1,LRP045,1000115,23.5304438,90.7713049,NaN,NaN,12199.0,0.5317553724772242
119,N1,LRP045a,1000116,23.5304993,90.7731104,NaN,NaN,12199.0,0.5317553724772242
120,N1,LRP046,1000117,23.5308049,90.7811104,NaN,NaN,12199.0,0.5317553724772242
121,N1,LRP046a,1000118,23.5307493,90.7816104,NaN,NaN,12199.0,0.5317553724772242
122,N1,LRP046b,1000119,23.531416,90.7824438,NaN,NaN,12199.0,0.5317553724772242
123,N1,LRP046c,1000120,23.5312216,90.7895552,C,3.9,12199.0,0.5317553724772242
124,N1,LRP047,1000121,23.531166,90.7907219,NaN,NaN,12199.0,0.5317553724772242
125,N1,LRP047a,1000122,23.5306938,90.7924441,NaN,NaN,12199.0,0.5317553724772242
126,N1,LRP048,1000123,23.5308604,90.8002222,NaN,NaN,12199.0,0.5317553724772242
127,N1,LRP048a,1000124,23.5308882,90.8041389,NaN,NaN,12199.0,0.5317553724772242
128,N1,LRP048b,1000125,23.530916,90.8043611,NaN,NaN,12199.0,0.5317553724772242
129,N1,LRP049,1000126,23.5316382,90.8099167,NaN,NaN,12199.0,0.5317553724772242
130,N1,LRP050,1000127,23.5332493,90.8194716,NaN,NaN,12199.0,0.5317553724772242
131,N1,LRP050a,1000128,23.5346663,90.8249716,NaN,NaN,12199.0,0.5317553724772242
132,N1,LRP050b,1000129,23.5347219,90.8251104,NaN,NaN,12199.0,0.5317553724772242
133,N1,LRP051,1000130,23.5344997,90.8287216,NaN,NaN,12199.0,0.5317553724772242
134,N1,LRP052,1000131,23.5292216,90.8365274,NaN,NaN,12199.0,0.5317553724772242
135,N1,LRP052a,1000132,23.5270549,90.8391386,NaN,NaN,12199.0,0.5317553724772242
136,N1,LRP053,1000133,23.523166,90.8438886,NaN,NaN,12199.0,0.5317553724772242
137,N1,LRP054,1000134,23.5174993,90.8513889,NaN,NaN,12199.0,0.5317553724772242
138,N1,LRP055,1000135,23.5170827,90.8607778,NaN,NaN,12199.0,0.5317553724772242
139,N1,LRP056,1000136,23.5135833,90.8697771,NaN,NaN,12199.0,0.5317553724772242
140,N1,LRP056a,1000137,23.5133056,90.8703049,C,28.9,12199.0,0.5317553724772242
141,N1,LRP056b,1000138,23.5131111,90.8706382,NaN,NaN,12199.0,0.5317553724772242
142,N1,LRP056c,1000139,23.5126389,90.871416,NaN,NaN,12199.0,0.5317553724772242
143,N1,LRP057,1000140,23.5088056,90.8778604,NaN,NaN,12199.0,0.5317553724772242
144,N1,LRP058,1000141,23.506,90.8869163,NaN,NaN,12199.0,0.5317553724772242
145,N1,LRP058a,1000142,23.5056111,90.8958886,NaN,NaN,12199.0,0.5317553724772242
