run,avarage
0,408.9376074674527
1,537.0600150037509
2,415.9585230769231
3,518.1571000748689
4,456.22885019142893
5,534.7301349325337
6,475.77430942648334
7,494.341420928207
8,424.1202064896755
9,469.85135135135135
