run,avarage
0,390.93717854518735
1,400.83779469548136
2,383.48933038999263
3,364.5633923123856
4,382.68407534246575
5,375.13232421875
6,377.31120889866764
7,353.43706760529193
8,432.54311089182187
9,354.8981008035062
