,index,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id_jump,condition,road_name,bridge_length,road_id,road_id_sliced,geometry,id,model_type,dist
31,2346,N2,0.0,LRPS,23.7059167,90.5214438,,Others,,intersection,,,,Unknown,,N2LRPS,N2LRPS,POINT (90.5214438 23.7059167),1000017,potential intersection,0.00018626446252575118
32,3232,N203,0.0,LRPS,24.0537222,90.9875552,,Others,,intersection,,,,Unknown,,N203LRPS,N203LRPS,POINT (90.9875552 24.0537222),1002532,potential intersection,0.004981870725938653
33,3236,N203,0.975,LRPE,24.05075,90.9951108,,Others,,intersection,534.0,,,Unknown,,N203LRPE,N203LRPE,POINT (90.9951108 24.05075),1002532,potential intersection,0.013099301255028025
34,3237,N204,0.0,LRPS,24.1479163,91.3466108,,Others,,intersection,,,,Unknown,,N204LRPS,N204LRPS,POINT (91.3466108 24.1479163),1002662,potential intersection,0.00017569615817613138
35,3329,N204,34.421,LRPE,24.2673882,91.4771382,,Others,,intersection,134.00000000000034,,,Unknown,,N204LRPE,N204LRPE,POINT (91.4771382 24.2673882),1002755,potential intersection,0.0003948307992007836
36,3330,N205,0.0,LRPS,24.8677771,91.8571111,,Others,,intersection,,,,Unknown,,N205LRPS,N205LRPS,POINT (91.8571111 24.8677771),1003061,potential intersection,0.0005624082947453445
37,3337,N205,2.478,LRPE,24.886083,91.8680827,,Others,,intersection,478.0000000000002,,,Unknown,,N205LRPE,N205LRPE,POINT (91.8680827 24.886083),1003338,potential intersection,0.00016196326744015975
38,3345,N206,1.797,LRPE,24.8939441,91.8783049,,Others,,intersection,26.999999999999915,,,Unknown,,N206LRPE,N206LRPE,POINT (91.8783049 24.8939441),1003081,potential intersection,0.00022390750322130997
39,3346,N207,0.0,LRPS,24.2948608,91.51025,,Others,,intersection,,,,Unknown,,N207LRPS,N207LRPS,POINT (91.51025 24.2948608),1002768,potential intersection,0.00021698410079523697
40,3511,N207,67.985,LRPE,24.6263327,91.6775271,,Others,,intersection,349.9999999999943,,,Unknown,,N207LRPE,N207LRPE,POINT (91.6775271 24.6263327),1002972,potential intersection,0.00016890352275984602
41,3512,N208,0.0,LRPS,24.4713604,91.7655556,,Others,,intersection,,,,Unknown,,N208LRPS,N208LRPS,POINT (91.7655556 24.4713604),1003461,potential intersection,0.00011794541109855633
42,3688,N208,57.495,LRPE,24.8775549,91.8753604,,Others,,intersection,899.9999999999986,,,Unknown,,N208LRPE,N208LRPE,POINT (91.8753604 24.8775549),1003071,potential intersection,0.00016196326744015975
43,3689,N209,0.0,LRPS,24.8775549,91.8753604,,Others,,intersection,,,,Unknown,,N209LRPS,N209LRPS,POINT (91.8753604 24.8775549),1003071,potential intersection,0.00016196326744015975
44,3695,N209,1.33,LRPE,24.8859441,91.868166,,Others,,intersection,330.00000000000006,,,Unknown,,N209LRPE,N209LRPE,POINT (91.868166 24.8859441),1003338,potential intersection,0.0
45,3696,N210,0.0,LRPS,24.9162778,91.9495552,,Others,,intersection,,,,Unknown,,N210LRPS,N210LRPS,POINT (91.9495552 24.9162778),1003104,potential intersection,3.931513703368949e-05
46,3735,N210,10.844,LRPE,24.8479997,91.8967497,,Others,,intersection,530.9999999999989,,,Unknown,,N210LRPE,N210LRPE,POINT (91.8967497 24.8479997),1003682,potential intersection,0.00016669999999407992
47,3736,N3,0.0,LRPS,23.8145833,90.4043056,,Others,,intersection,,,,Unknown,,N3LRPS,N3LRPS,POINT (90.4043056 23.8145833),1029830,potential intersection,0.012055358845345136
48,4005,N3,111.583,LRPE,24.7575,90.40675,,Others,,intersection,108.00000000000409,,,Unknown,,N3LRPE,N3LRPE,POINT (90.40675 24.7575),1030642,potential intersection,0.0046070902150900424
49,4006,N302,0.0,LRPS,23.8805827,90.4011389,,Others,,intersection,,,,Unknown,,N302LRPS,N302LRPS,POINT (90.4011389 23.8805827),1003748,potential intersection,0.0006334288436780227
50,4036,N302,17.555,LRPE,23.9379441,90.2698327,,Others,,intersection,297.9999999999983,,,Unknown,,N302LRPE,N302LRPE,POINT (90.2698327 23.9379441),1006815,potential intersection,0.00028599512233067097
51,4037,N303,0.0,LRPS,24.6712771,90.4035833,,Others,,intersection,,,,Unknown,,N303LRPS,N303LRPS,POINT (90.4035833 24.6712771),1030267,potential intersection,0.07197398924368562
52,4040,N303,1.009,LRPE,24.6784993,90.4071667,,Others,,intersection,199.99999999999986,,,Unknown,,N303LRPE,N303LRPE,POINT (90.4071667 24.6784993),1030267,potential intersection,0.06402588276759676
53,4041,N309,0.0,LRPS,24.740083,90.4249993,,Others,,intersection,,,,Unknown,,N309LRPS,N309LRPS,POINT (90.4249993 24.740083),1030267,potential intersection,8.778485062602506e-05
54,4089,N309,13.303,LRPE,24.7822771,90.3442219,,Others,,intersection,10.000000000001563,,,Unknown,,N309LRPE,N309LRPE,POINT (90.3442219 24.7822771),1004524,potential intersection,0.00022219999999961715
55,4090,N4,0.0,LRPS,23.9893886,90.3818327,,Others,,intersection,,,,Unknown,,N4LRPS,N4LRPS,POINT (90.3818327 23.9893886),1013415,potential intersection,0.023231841929774625
56,4439,N4,146.305,LRPE,24.9230549,89.9501667,,Others,,intersection,73.0000000000075,,,Unknown,,N4LRPE,N4LRPE,POINT (89.9501667 24.9230549),1004435,potential intersection,0.006108937846303188
57,4440,N401,0.0,LRPS,24.6071667,90.0287493,,Others,,intersection,,,,Unknown,,N401LRPS,N401LRPS,POINT (90.0287493 24.6071667),1004352,potential intersection,0.00010015113578965023
58,4537,N401,46.98,LRPE,24.7636667,90.4060278,,Others,,intersection,439.00000000000006,,,Unknown,,N401LRPE,N401LRPE,POINT (90.4060278 24.7636667),1004536,potential intersection,0.003922507386872383
59,4538,N402,0.0,LRPS,24.9718049,90.1785549,,Others,,intersection,,,,Unknown,,N402LRPS,N402LRPS,POINT (90.1785549 24.9718049),1014617,potential intersection,5.550000000198452e-05
60,4611,N402,28.0,LRPE,25.2005556,90.2242493,,Others,,intersection,129.999999999999,,,Unknown,,N402LRPE,N402LRPE,POINT (90.2242493 25.2005556),1004608,potential intersection,0.011536590717362436
61,4612,N403,0.0,LRPS,24.0964997,90.1162222,,Others,,intersection,,,,Unknown,,N403LRPS,N403LRPS,POINT (90.1162222 24.0964997),1004620,potential intersection,0.029795117808285174
62,4623,N403,3.732,LRPE,24.1073611,90.0856108,,Others,,intersection,336.0000000000003,,,Unknown,,N403LRPE,N403LRPE,POINT (90.0856108 24.1073611),1004620,potential intersection,0.00464721594613414
63,4624,N404,0.0,LRPS,24.2425552,89.9404719,,Others,,intersection,,,,Unknown,,N404LRPS,N404LRPS,POINT (89.9404719 24.2425552),1004229,potential intersection,0.00021158719242830783
64,4642,N404,6.489,LRPE,24.2836386,89.9172771,,Others,,intersection,671.9999999999997,,,Unknown,,N404LRPE,N404LRPE,POINT (89.9172771 24.2836386),1004248,potential intersection,0.00044880706321373174
65,4652,N405,40.78,LRPE,24.4190827,89.5518056,,Others,,intersection,435.99999999999994,,,Unknown,,N405LRPE,N405LRPE,POINT (89.5518056 24.4190827),1005116,potential intersection,0.0001145010917003484
66,4653,N406,0.0,LRPS,24.06058243841464,90.22557453155488,,Others,,intersection,,,,Unknown,,N406LRPS,N406LRPS,POINT (90.22557453155488 24.06058243841464),1004124,potential intersection,0.0012047374313979516
67,4661,N406,3.042,LRPE,24.0793049,90.2081944,,Others,,intersection,239.99999999999977,,,Unknown,,N406LRPE,N406LRPE,POINT (90.2081944 24.0793049),1004124,potential intersection,0.025106049063925457
68,4662,N407,0.0,LRPS,24.2223049,89.9781104,,Others,,intersection,,,,Unknown,,N407LRPS,N407LRPS,POINT (89.9781104 24.2223049),1004677,potential intersection,5.5599999999600414e-05
69,4670,N407,2.206,LRPE,24.2307493,89.9929719,,Others,,intersection,205.99999999999997,,,Unknown,,N407LRPE,N407LRPE,POINT (89.9929719 24.2307493),1032273,potential intersection,0.00013886000144157267
70,4671,N408,0.0,LRPS,24.2092778,89.9802493,,Others,,intersection,,,,Unknown,,N408LRPS,N408LRPS,POINT (89.9802493 24.2092778),1004677,potential intersection,0.013146661380747207
71,4682,N408,3.532,LRPE,24.2284716,89.96125,,Others,,intersection,189.99999999999994,,,Unknown,,N408LRPE,N408LRPE,POINT (89.96125 24.2284716),1004223,potential intersection,0.007197782842654743
72,4683,N5,0.0,LRPS,23.7837774,90.3364163,BS,Others,,intersection,,,,Unknown,,N5LRPS,N5LRPS,POINT (90.3364163 23.7837774),1004689,potential intersection,0.02455281033140406
73,5899,N5,526.033,LRPE,26.6332216,88.4148333,,Others,,intersection,19.99999999998181,,,Unknown,,N5LRPE,N5LRPE,POINT (88.4148333 26.6332216),1005873,potential intersection,0.13186864892797304
74,5900,N501,0.0,LRPS,23.7985552,90.3434163,,Others,,intersection,,,,Unknown,,N501LRPS,N501LRPS,POINT (90.3434163 23.7985552),1004689,potential intersection,0.03186130931035584
75,5915,N501,11.942,LRPE,23.8922497,90.3618056,,Others,,intersection,990.9999999999997,,,Unknown,,N501LRPE,N501LRPE,POINT (90.3618056 23.8922497),1004013,potential intersection,0.000263544227795537
76,5916,N502,0.0,LRPS,24.821916,89.36275,,Others,,intersection,,,,Unknown,,N502LRPS,N502LRPS,POINT (89.36275 24.821916),1005223,potential intersection,0.00025154093107094855
77,6064,N502,63.29,LRPE,24.4118889,88.9961108,,Others,,intersection,9.99999999999801,,,Unknown,,N502LRPE,N502LRPE,POINT (88.9961108 24.4118889),1007024,potential intersection,0.011625278044423483
78,6065,N503,0.0,LRPS,23.8435552,89.8113333,,Others,,intersection,,,,Unknown,,N503LRPS,N503LRPS,POINT (89.8113333 23.8435552),1004903,potential intersection,0.00018639863196287136
79,6078,N503,3.269,LRPE,23.8359441,89.7807771,,Others,,intersection,438.00000000000017,,,Unknown,,N503LRPE,N503LRPE,POINT (89.7807771 23.8359441),1004903,potential intersection,0.03167178420392563
80,6079,N504,0.0,LRPS,23.9580556,89.6071944,,Others,,intersection,,,,Unknown,,N504LRPS,N504LRPS,POINT (89.6071944 23.9580556),1004949,potential intersection,0.0003621608758530867
81,6090,N504,5.587,LRP005a,23.9427497,89.6521389,,Others,,intersection,919.9999999999999,,,Unknown,,N504LRP005a,N504LRP0,POINT (89.6521389 23.9427497),1004933,potential intersection,0.04719760272090014
82,6091,N505,0.0,LRPS,23.892583,89.6530278,,Others,,intersection,,,,Unknown,,N505LRPS,N505LRPS,POINT (89.6530278 23.892583),1004929,potential intersection,8.781645631595208e-05
83,6100,N505,4.4,LRPE,23.8635833,89.6811938,,Others,,intersection,800.0000000000002,,,Unknown,,N505LRPE,N505LRPE,POINT (89.6811938 23.8635833),1004929,potential intersection,0.04034744710883256
84,6101,N506,0.0,LRPS,25.7161111,89.2623056,,Others,,intersection,,,,Unknown,,N506LRPS,N506LRPS,POINT (89.2623056 25.7161111),1006755,potential intersection,0.0001964342638206061
85,6218,N506,50.017,LRPE,25.8130278,89.643333,,Others,,intersection,160.0000000000037,,,Unknown,,N506LRPE,N506LRPE,POINT (89.643333 25.8130278),1006184,potential intersection,0.13894180190440586
86,6219,N507,0.0,LRPS,24.4192216,89.5518056,,Others,,intersection,,,,Unknown,,N507LRPS,N507LRPS,POINT (89.5518056 24.4192216),1005116,potential intersection,0.0002515298988208286
87,6377,N507,51.26,LRPE,24.2984163,89.0797771,,Others,,intersection,1009.999999999998,,,Unknown,,N507LRPE,N507LRPE,POINT (89.0797771 24.2984163),1006993,potential intersection,6.216268977166418e-05
88,6378,N508,0.0,LRPS,25.7565556,88.6736938,,Others,,intersection,,,,Unknown,,N508LRPS,N508LRPS,POINT (88.6736938 25.7565556),1005638,potential intersection,0.09986202517473856
89,6406,N508,15.975,LRPE,25.6215827,88.6347497,,Others,,intersection,349.99999999999966,,,Unknown,,N508LRPE,N508LRPE,POINT (88.6347497 25.6215827),1006404,potential intersection,0.004774922467433596
90,6407,N509,0.0,LRPS,25.8698049,89.51025,,Others,,intersection,,,,Unknown,,N509LRPS,N509LRPS,POINT (89.51025 25.8698049),1006184,potential intersection,0.01641111345488835
