roadNo	roadId	startChainage	endChainage	width	nrLanes
R880	1584	0	0.05	24	4
R880	1584	0.05	1.22	7.6	2
R880	1584	1.22	1.44	7.6	2
R880	1584	1.44	1.672	7.6	2
R880	1584	1.672	5.003	7.6	2
R880	1584	5.003	5.156	7.6	2
R880	1584	5.156	7.44	7.6	2
R880	1584	7.44	7.596	7.6	2
R880	1584	7.596	11.44	7.6	2
R880	1584	11.44	11.54	7.6	2
R880	1584	11.54	11.806	7.6	2
R880	1584	11.806	12.026	7.6	2
R880	1584	12.026	17.06	7.6	2
R880	1584	17.06	17.287	7.6	2
R880	1584	17.287	21.497	7.6	2
R880	1584	21.497	21.7	7.6	2
R880	1584	21.7	24.267	7	2
R880	1584	24.267	24.8	7.6	2
R880	1584	24.8	27.858	7.6	2
R880	1584	27.858	28.005	7.6	2
R880	1584	28.005	28.78	7.6	2
R880	1584	28.78	29.179	7.6	2
R880	1584	29.179	30.095	5.5	2
R880	1584	31.913	32.043	8.4	2
R880	1584	32.043	33.053	3.8	1
R880	1584	33.053	33.773	3.7	1
R880	1584	33.773	39.073	3.7	1
R880	1584	39.073	40.634	3.8	1
R880	1584	40.634	42.588	3.8	1
R880	1584	42.588	42.933	3.8	1
R880	1584	42.933	43.03	10.3	3
R880	1584	43.03	43.395	11.4	4
R880	1584	43.395	43.517	10.3	3
R880	1584	43.517	45.033	11.4	4
R880	1584	45.033	45.188	10.3	3
R880	1584	45.188	46.098	3.7	1
R880	1584	46.098	46.935	3.7	1
R880	1584	46.935	47.098	5.5	2
R880	1584	47.098	49.273	3.7	1
R880	1584	49.273	49.373	5.5	2
R880	1584	50.973	51.163	5.5	2
R880	1584	51.163	55.7	3.8	1
R880	1584	55.7	55.728	3.8	1
