roadNo	roadId	startChainage	endChainage	width	nrLanes
R312	1500	0	0.125	12	4
R312	1500	0.125	2.1	5.61	2
R312	1500	2.1	3.1	5.62	2
R312	1500	3.1	3.5	7.52	2
R312	1500	3.5	3.6	5.6	2
R312	1500	3.6	4.58	7.5	2
R312	1500	4.58	6.1	5.61	2
R312	1500	6.1	7.9	5.58	2
R312	1500	7.9	8.2	6.2	2
R312	1500	8.2	11.4	5.57	2
R312	1500	11.4	14.2	5.45	1.5
R312	1500	14.2	17.4	5.53	2
R312	1500	17.4	18.125	7.3	2
R312	1500	18.125	20.3	5.53	2
R312	1500	20.3	23.6	5.54	2
R312	1500	23.6	26.4	5.54	2
R312	1500	26.4	29.1	5.55	2
R312	1500	29.1	32.35	5.48	1.5
R312	1500	32.35	35.7	5.49	1.5
R312	1500	35.7	37.03	5.47	1.5
R312	1500	37.03	40.87	3.6	1
R312	1500	40.87	42.125	3.61	1
R312	1500	42.125	43.028	5.5	2
