road	R240
name	Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road
length	51
from	Shaistaganj
to	Auskandi
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1380
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1380&RoadNo=R240
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1380&RoadNo=R240
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1380&RoadNo=R240
