road	R163
name	Chittagong (Mohora)-Chandragona Road
length	33
from	Mohora
to	Chandragona
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1376
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1376&RoadNo=R163
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1376&RoadNo=R163
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1376&RoadNo=R163
