roadNo	roadId	startChainage	endChainage	width	nrLanes
R151	1377	0	0.04	12.5	4
R151	1377	0.04	0.34	8.5	2
R151	1377	0.34	1.4	5.56	2
R151	1377	1.4	3.5	5.57	2
R151	1377	3.5	5.1	5.6	2
R151	1377	5.1	6.9	5.6	2
R151	1377	6.9	8.2	5.57	2
R151	1377	8.2	9.8	5.59	2
R151	1377	9.8	11.3	5.57	2
R151	1377	11.3	12.85	5.57	2
R151	1377	12.85	13.9	5.62	2
R151	1377	13.9	15.2	5.61	2
R151	1377	15.2	17.1	5.6	2
R151	1377	17.1	19.1	5.61	2
R151	1377	19.1	20.4	5.6	2
R151	1377	20.4	20.78	3.6	1
R151	1377	20.78	20.92	5.6	2
R151	1377	20.92	22.3	3.71	1
R151	1377	22.3	24.1	3.62	1
R151	1377	24.1	26.2	3.62	1
R151	1377	26.2	27.8	3.59	1
R151	1377	27.8	28.3	3.61	1
R151	1377	28.3	30.1	3.61	1
R151	1377	30.1	31.85	3.58	1
R151	1377	31.85	33.4	3.61	1
R151	1377	33.4	34.9	3.62	1
R151	1377	34.9	36.1	3.1	1
R151	1377	36.1	37.9	3.62	1
R151	1377	37.9	39.3	3.62	1
R151	1377	39.3	42.1	3.61	1
R151	1377	42.1	43.8	3.62	1
R151	1377	43.8	45.3	3.63	1
R151	1377	45.3	47.702	3.62	1
