road	Z8065
name	Shariatpur-Ganganagar-Mongalmazirghat Road
length	25
from	Kotapara
to	Mongolmazirhat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1111
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1111&RoadNo=Z8065
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1111&RoadNo=Z8065
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1111&RoadNo=Z8065
