road	Z5508
name	Khetlal-Gopinathpur-Akkelpur Road
length	18
from	Khetlal
to	Akkelpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1091
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1091&RoadNo=Z5508
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1091&RoadNo=Z5508
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1091&RoadNo=Z5508
