road	R370
name	Mymensingh (D.C Office)-Raghurampur-Netrokona-Mohonganj-Jamalganj-Sunamganj Road
length	131
from	Mymensingh (D.C Office)
to	Sunamganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1472
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1472&RoadNo=R370
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1472&RoadNo=R370
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1472&RoadNo=R370
