roadNo	roadId	startChainage	endChainage	width	nrLanes
R314	1557	0	0.7	3.71	1
R314	1557	0.7	4.2	3.71	1
R314	1557	4.2	8.3	3.68	1
R314	1557	8.3	11.9	3.71	1
R314	1557	11.9	15.4	3.69	1
R314	1557	15.4	18.533	3.68	1
R314	1557	18.533	18.604	6.9	2
R314	1557	18.604	18.712	7.3	2
R314	1557	18.712	18.757	6.9	2
R314	1557	18.757	21.405	3.72	1
R314	1557	21.405	25.904	3.71	1
R314	1557	25.904	27.3	3.66	1
R314	1557	27.3	30.68	3.62	1
R314	1557	30.68	33.92	5.48	1.5
R314	1557	33.92	37.4	5.42	1.5
R314	1557	37.4	40.2	5.51	2
R314	1557	40.2	43.41	5.52	2
