road	R685
name	Rajshahi (Bindur More)-Nawhata-Chowmasia Road
length	66
from	Rajshahi (Bindur More)
to	Chowmasia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1588
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1588&RoadNo=R685
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1588&RoadNo=R685
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1588&RoadNo=R685
