road	Z8606
name	Bhojeswar By-Pass Road
length	1
from	Bhojeswar By-Pass
to	Bhojeswar By-Pass
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1114
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1114&RoadNo=Z8606
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1114&RoadNo=Z8606
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1114&RoadNo=Z8606
