road	R144
name	Laksam Old Section
length	3
from	Laksam North
to	Laksam South
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1402
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1402&RoadNo=R144
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1402&RoadNo=R144
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1402&RoadNo=R144
