road	Z1032
name	Chhagalnaiya-Muhuriganj Road
length	11
from	Chhagalnaiya
to	Muhuriganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=960
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=960&RoadNo=Z1032
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=960&RoadNo=Z1032
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=960&RoadNo=Z1032
