roadNo	roadId	startChainage	endChainage	width	nrLanes
R170	1526	0	0.4	3.8	1
R170	1526	0.4	1.5	3.76	1
R170	1526	1.5	3.14	3.71	1
R170	1526	3.14	3.195	5.5	2
R170	1526	3.195	4.8	3.63	1
R170	1526	4.8	7.85	3.67	1
R170	1526	7.85	11.02	3.68	1
R170	1526	11.02	12.34	3.45	1
R170	1526	12.34	13.91	3.4	1
R170	1526	13.91	14.94	5.57	2
R170	1526	14.94	16.5	5.6	2
R170	1526	16.5	18	5.61	2
R170	1526	18	21.9	5.62	2
R170	1526	21.9	23.4	5.61	2
R170	1526	23.4	25.2	5.62	2
R170	1526	25.2	26.8	5.61	2
R170	1526	26.8	28.3	5.59	2
R170	1526	28.3	30.1	5.54	2
R170	1526	30.1	31.85	5.57	2
R170	1526	31.85	33.2	5.61	2
R170	1526	33.2	34.75	5.58	2
R170	1526	34.75	36.3	5.61	2
R170	1526	36.3	38.4	5.6	2
R170	1526	38.4	40.1	5.61	2
R170	1526	40.1	41.85	5.6	2
R170	1526	41.85	43.2	5.62	2
R170	1526	43.2	45.1	5.6	2
R170	1526	45.1	47.9	5.6	2
R170	1526	47.9	50.1	5.6	2
R170	1526	50.1	52.5	5.57	2
R170	1526	52.5	54.9	5.61	2
R170	1526	54.9	57.3	5.61	2
R170	1526	57.3	59.8	5.61	2
R170	1526	59.8	62.1	5.61	2
R170	1526	62.1	64.9	5.6	2
R170	1526	64.9	67.1	5.6	2
R170	1526	67.1	69.8	5.57	2
R170	1526	69.8	71.6	5.54	2
R170	1526	71.6	74.635	5.57	2
