roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1033	936	0	1.85	5.5	2
Z1033	936	1.85	9.65	5.2	1.5
Z1033	936	9.65	10.11	6.5	2
Z1033	936	10.11	11.18	5.8	2
Z1033	936	11.18	11.28	6.5	2
Z1033	936	11.28	12.99	5.6	2
Z1033	936	12.99	14.6	5.4	1.5
Z1033	936	14.6	14.975	7.5	2
Z1033	936	14.975	15.4	7.2	2
Z1033	936	15.4	16.5	6.5	2
Z1033	936	16.5	18	5.8	2
Z1033	936	18	21.9	5.5	2
Z1033	936	21.9	22.45	5.5	2
Z1033	936	22.45	23.15	5.5	2
Z1033	936	23.15	23.5	3.4	1
Z1033	936	23.5	24.15	5.2	1.5
Z1033	936	24.15	25.25	3.8	1
Z1033	936	25.25	25.648	5.5	2
