roadNo	roadId	startChainage	endChainage	width	nrLanes
R560	1268	0	0.06	6.6	2
R560	1268	0.06	0.45	6.6	2
R560	1268	0.45	7.98	5.6	2
R560	1268	7.98	14.13	5.6	2
R560	1268	14.13	20.81	5.6	2
R560	1268	20.81	21.332	7.3	2
R560	1268	21.332	25.67	5.6	2
R560	1268	25.67	26.07	6.6	2
R560	1268	26.07	28.348	5.6	2
R560	1268	28.348	30.042	7.6	2
R560	1268	30.042	41.685	5.6	2
R560	1268	41.685	42.06	7.4	2
R560	1268	42.06	46.754	5.6	2
R560	1268	46.754	49.29	7	2
R560	1268	49.29	51.09	5.6	2
R560	1268	51.09	51.49	7	2
R560	1268	51.49	57.06	5.5	2
R560	1268	57.06	57.13	35	4
