roadNo	roadId	startChainage	endChainage	width	nrLanes
Z2011	1512	0	1.35	5.8	2
Z2011	1512	1.35	2.46	4	1.5
Z2011	1512	2.46	2.86	5.7	2
Z2011	1512	2.86	6.82	3.8	1
Z2011	1512	6.82	7.42	6	2
Z2011	1512	7.42	9.635	6	2
Z2011	1512	9.635	9.735	5.6	2
Z2011	1512	9.735	10.175	3.3	1
Z2011	1512	10.175	10.195	5.4	1.5
Z2011	1512	10.195	11.06	3.6	1
Z2011	1512	11.06	12.66	5.4	1.5
Z2011	1512	12.66	13.56	3.6	1
Z2011	1512	13.56	15	5.4	1.5
Z2011	1512	15	15.2	6.4	2
Z2011	1512	15.2	15.71	4	1.5
Z2011	1512	15.71	15.86	6	2
Z2011	1512	15.86	16.48	3.5	1
Z2011	1512	16.48	16.58	5.8	2
Z2011	1512	16.58	16.98	3.8	1
Z2011	1512	16.98	17.17	4	1.5
Z2011	1512	17.17	17.87	5.6	2
Z2011	1512	17.87	18.005	3.8	1
Z2011	1512	18.005	18.05	7.5	2
Z2011	1512	18.05	18.42	4.2	1.5
Z2011	1512	18.42	18.52	3.6	1
Z2011	1512	18.52	18.77	3.8	1
Z2011	1512	18.77	18.92	3.3	1
Z2011	1512	18.92	19.02	4.4	1.5
Z2011	1512	19.02	19.27	3.8	1
Z2011	1512	19.27	20.43	6	2
Z2011	1512	20.43	23.18	4	1.5
Z2011	1512	23.18	23.68	3.8	1
Z2011	1512	23.68	24.703	3.8	1
