road	Z6853
name	Mohonpur-Bagmara (Bhabaniganj) Road
length	23
from	Mohonpur (Sahipara)
to	Bhabaniganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=873
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=873&RoadNo=Z6853
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=873&RoadNo=Z6853
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=873&RoadNo=Z6853
