road	Z1009
name	Ramu-Fatehkharkul-Maricha Road
length	14
from	Ramu
to	Maricha
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1207
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1207&RoadNo=Z1009
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1207&RoadNo=Z1009
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1207&RoadNo=Z1009
