road	Z2403
name	Habiganj-Baniyachang-Ajmiriganj-Sullah Road
length	56
from	Habiganj
to	Sullah
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1568
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1568&RoadNo=Z2403
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1568&RoadNo=Z2403
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1568&RoadNo=Z2403
