road	R160
name	Hathazari-Fatikchhari-Manikchhari-Matiranga-Khagrachhari Road
length	93
from	Hathazari
to	Khagrachhari
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1378
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1378&RoadNo=R160
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1378&RoadNo=R160
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1378&RoadNo=R160
