roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1412	1569	0	0.78	3.7	1
Z1412	1569	1.006	2.429	3.65	1
Z1412	1569	2.429	2.464	9.5	3
Z1412	1569	2.464	3.234	3	1
Z1412	1569	3.234	3.339	5.2	1.5
Z1412	1569	3.339	3.984	3	1
Z1412	1569	3.984	4.059	5.2	1.5
Z1412	1569	4.059	5.064	3	1
Z1412	1569	5.064	5.624	3	1
Z1412	1569	5.624	5.734	5.2	1.5
Z1412	1569	5.734	6.354	3	1
Z1412	1569	6.354	6.454	5.2	1.5
Z1412	1569	6.454	7.599	3	1
Z1412	1569	7.599	7.709	5.2	1.5
Z1412	1569	7.709	8.099	3	1
Z1412	1569	8.099	8.199	5.5	2
Z1412	1569	8.199	9.199	3	1
Z1412	1569	9.199	9.304	5.5	2
Z1412	1569	9.304	12.324	3	1
Z1412	1569	12.324	12.524	5.2	1.5
Z1412	1569	12.524	14.649	3	1
Z1412	1569	14.649	14.864	5.2	1.5
Z1412	1569	14.864	17.019	3	1
Z1412	1569	17.019	17.41	4.8	1.5
Z1412	1569	17.41	20.54	3	1
Z1412	1569	20.54	20.69	5.2	1.5
Z1412	1569	20.69	29.56	3.65	1
Z1412	1569	29.56	30.58	3.8	1
