road	R570
name	Sayedpur-Nilphamari Road
length	15
from	Sayedpur (WAPDA More)
to	Nilphamari (GPO More)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1482
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1482&RoadNo=R570
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1482&RoadNo=R570
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1482&RoadNo=R570
