roadNo	roadId	startChainage	endChainage	width	nrLanes
R548	1363	0	0.04	13	4
R548	1363	0.04	0.14	4.6	1.5
R548	1363	0.14	1	3.7	1
R548	1363	1	1.7	5.5	2
R548	1363	1.7	2.3	3.7	1
R548	1363	2.3	2.48	5.5	2
R548	1363	2.48	5.2	3.7	1
R548	1363	5.2	8.3	5.5	2
R548	1363	8.3	16	3.7	1
R548	1363	16	16.2	4.46	1.5
R548	1363	16.2	27.7	3.7	1
R548	1363	27.7	28.21	5.5	2
R548	1363	28.21	36.9	3.2	1
R548	1363	36.9	37.2	3.66	1
R548	1363	37.2	37.4	4.8	1.5
R548	1363	37.4	37.9	5.5	2
R548	1363	37.9	40.17	5.5	2
R548	1363	40.17	40.3	7.3	2
R548	1363	40.3	41	4.2	1.5
R548	1363	41	49.316	5.5	2
R548	1363	49.316	53.321	5.5	2
