road	R546
name	Railgate-Shantahar Road
length	3
from	Railgate
to	Shantahar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1519
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1519&RoadNo=R546
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1519&RoadNo=R546
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1519&RoadNo=R546
