road	R212
name	Akdaria (C&B Bazar)-Shekher Bazar-Puradia-Agarpur Road
length	23
from	C&b Bazar
to	Agarpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1483
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1483&RoadNo=R212
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1483&RoadNo=R212
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1483&RoadNo=R212
