road	R201
name	Tarabo-Demra Road
length	2
from	Tarabo
to	Demra
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1403
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1403&RoadNo=R201
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1403&RoadNo=R201
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1403&RoadNo=R201
