road	Z4022
name	Jamalpur-Madarganj Road
length	28
from	Jamalpur
to	Madarganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1414
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1414&RoadNo=Z4022
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1414&RoadNo=Z4022
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1414&RoadNo=Z4022
