road	R360
name	Mymensingh (Raghurampur)-Kishoreganj (Battali)-Bhairab (Bazar) Road
length	116
from	Mymensingh(Raghurampur)
to	Bhairab Bazar (Durjoy Chattar)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1385
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1385&RoadNo=R360
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1385&RoadNo=R360
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1385&RoadNo=R360
