roadNo	roadId	startChainage	endChainage	width	nrLanes
R240	1380	0	0.05	12.4	3.5
R240	1380	0.05	0.138	10.2	3
R240	1380	0.138	0.25	10.2	3
R240	1380	0.25	0.824	8.9	2
R240	1380	0.824	1.4	5.52	2
R240	1380	1.4	2.9	5.52	2
R240	1380	2.9	3.4	5.49	1.5
R240	1380	3.4	4.9	5.52	2
R240	1380	4.9	6.05	5.53	2
R240	1380	6.05	7.85	5.53	2
R240	1380	7.85	8.9	5.52	2
R240	1380	8.9	10.2	5.53	2
R240	1380	10.2	11.8	5.52	2
R240	1380	11.8	12.37	5.53	2
R240	1380	12.37	13.41	7.4	2
R240	1380	13.41	13.53	13	4
R240	1380	13.53	13.81	24.92	6
R240	1380	13.81	14.18	14.93	4
R240	1380	14.18	14.42	16.9	4
R240	1380	14.42	14.76	14.72	4
R240	1380	14.76	14.9	14.8	4
R240	1380	14.9	15.1	10.6	3
R240	1380	15.1	15.41	6.6	2
R240	1380	15.41	15.48	7	2
R240	1380	15.48	16.1	7	2
R240	1380	16.1	17.02	5.7	2
R240	1380	17.02	17.4	13.3	4
R240	1380	17.4	19.4	5.6	2
R240	1380	19.4	20.8	5.56	2
R240	1380	20.8	22.3	5.61	2
R240	1380	22.3	23.6	5.6	2
R240	1380	23.6	25.3	5.53	2
R240	1380	25.3	27.1	5.54	2
R240	1380	27.1	28.8	5.4	1.5
R240	1380	28.8	30.2	5.52	2
R240	1380	30.2	31.85	5.54	2
R240	1380	31.85	33.45	5.51	2
R240	1380	33.45	34.95	5.52	2
R240	1380	34.95	36.3	5.49	1.5
R240	1380	36.3	37.85	5.52	2
R240	1380	37.85	39.2	5.49	1.5
R240	1380	39.2	40.186	5.56	2
R240	1380	40.186	40.386	10.9	3.5
R240	1380	40.386	41.95	5.53	2
R240	1380	41.95	43.3	5.48	1.5
R240	1380	43.3	45	5.57	2
R240	1380	45	45.25	6.9	2
R240	1380	45.25	47.4	5.6	2
R240	1380	47.4	48.9	5.67	2
R240	1380	48.9	49.34	5.6	2
R240	1380	49.34	49.55	6	2
R240	1380	49.55	49.9	12	4
R240	1380	49.9	50.67	5.7	2
