roadNo	roadId	startChainage	endChainage	width	nrLanes
Z5061	1421	0	0.05	6.4	2
Z5061	1421	0.05	1.3	5.41	1.5
Z5061	1421	1.3	2.8	5.39	1.5
Z5061	1421	2.8	4.7	5.44	1.5
Z5061	1421	4.7	6.2	5.4	1.5
Z5061	1421	6.2	7.8	5.41	1.5
Z5061	1421	7.8	9.2	5.41	1.5
Z5061	1421	9.2	10.9	5.4	1.5
Z5061	1421	10.9	12.3	5.41	1.5
Z5061	1421	12.3	14.1	5.38	1.5
Z5061	1421	14.1	15.3	5.39	1.5
Z5061	1421	15.3	16.584	5.38	1.5
Z5061	1421	18.983	20.473	5.5	2
Z5061	1421	20.673	21.833	5.5	2
Z5061	1421	21.833	22.833	5.4	1.5
Z5061	1421	22.833	23.233	5.4	1.5
Z5061	1421	23.233	23.583	5.5	2
Z5061	1421	23.583	24.18	6.4	2
Z5061	1421	24.253	26.163	5.4	1.5
Z5061	1421	26.163	27.201	6	2
Z5061	1421	27.201	27.643	5.5	2
Z5061	1421	27.643	28.595	6	2
Z5061	1421	28.595	29.583	5.5	2
