road	R281
name	Rajnagar-Kulaura-Juri-Baralekha-Bianibazar-Sheola-Charkhai Road
length	83
from	Rajnagar
to	Charkhai
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1447
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1447&RoadNo=R281
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1447&RoadNo=R281
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1447&RoadNo=R281
