roadNo	roadId	startChainage	endChainage	width	nrLanes
Z8708	930	0	0.02	15	4
Z8708	930	0.02	0.16	6	2
Z8708	930	0.16	0.432	3.7	1
Z8708	930	0.432	1.635	3.7	1
Z8708	930	1.635	9.5	3.7	1
Z8708	930	9.5	12.397	3.7	1
Z8708	930	12.397	14.15	3.7	1
Z8708	930	14.15	14.494	5.5	2
Z8708	930	14.494	17.25	3.7	1
Z8708	930	17.25	22.779	3.7	1
Z8708	930	22.779	23.38	5.5	2
Z8708	930	23.38	30.478	3.7	1
Z8708	930	31.03	35.372	3.7	1
Z8708	930	35.372	39.24	3.7	1
Z8708	930	39.24	39.28	5.7	2
Z8708	930	39.28	47.028	3.7	1
Z8708	930	47.028	49.444	3.8	1
Z8708	930	49.444	51.608	3.8	1
Z8708	930	51.608	57.682	5.7	2
Z8708	930	57.682	64.798	3.8	1
Z8708	930	64.798	68.098	3.7	1
Z8708	930	68.098	70.896	3.7	1
Z8708	930	70.896	72.8	3.7	1
Z8708	930	72.8	73.356	3.7	1
Z8708	930	73.356	74.345	4.3	1.5
Z8708	930	74.345	74.355	4.3	1.5
