road	R604
name	Tebunia-Chatmohor-Handial-Hamkuria Road
length	41
from	Tebunia
to	Hamkuria
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1499
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1499&RoadNo=R604
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1499&RoadNo=R604
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1499&RoadNo=R604
