roadNo	roadId	startChainage	endChainage	width	nrLanes
Z2807	1433	0	0.5	8.5	2
Z2807	1433	0.5	1.05	5.49	1.5
Z2807	1433	1.05	2.65	5.5	2
Z2807	1433	2.65	4.3	5.48	1.5
Z2807	1433	4.3	5.8	5.51	2
Z2807	1433	5.8	7.3	5.49	1.5
Z2807	1433	7.3	8.9	5.47	1.5
Z2807	1433	8.9	10.2	5.48	1.5
Z2807	1433	10.2	11.8	5.51	2
Z2807	1433	11.8	13.5	5.48	1.5
Z2807	1433	13.5	14.9	5.47	1.5
Z2807	1433	14.9	16.5	5.43	1.5
Z2807	1433	16.5	17.8	5.47	1.5
Z2807	1433	17.8	19.3	5.47	1.5
Z2807	1433	19.3	21.3	5.48	1.5
Z2807	1433	21.3	22.8	5.48	1.5
Z2807	1433	22.8	24.3	5.48	1.5
Z2807	1433	24.3	25	5.46	1.5
Z2807	1433	25	25.3	4	1.5
Z2807	1433	25.3	26.7	5.45	1.5
Z2807	1433	26.7	27.48	5.42	1.5
Z2807	1433	27.48	28.7	5.2	1.5
Z2807	1433	28.7	31.804	5	1.5
Z2807	1433	32.1	37.4	5.95	2
Z2807	1433	37.4	40.5	5.8	2
Z2807	1433	40.5	43.2	5.7	2
Z2807	1433	43.2	44	5.7	2
Z2807	1433	44	46	5.7	2
