roadNo	roadId	startChainage	endChainage	width	nrLanes
Z7106	1166	0	0.1	10.9	3
Z7106	1166	0.1	6.16	3.7	1
Z7106	1166	6.16	10.5	3.2	1
Z7106	1166	10.5	15.59	3.7	1
Z7106	1166	15.59	16.91	3.7	1
Z7106	1166	16.91	22.3	3.7	1
Z7106	1166	22.3	23.74	4.27	1.5
Z7106	1166	23.74	24.71	3.7	1
Z7106	1166	24.71	25.05	3.7	1
Z7106	1166	25.05	26.62	5	1.5
Z7106	1166	26.62	27.18	3.7	1
Z7106	1166	27.18	27.72	3.7	1
Z7106	1166	27.72	28.33	3.7	1
Z7106	1166	28.33	28.45	5.5	2
Z7106	1166	28.45	29.73	3.7	1
Z7106	1166	29.73	33.84	3.7	1
Z7106	1166	33.84	34.32	5.5	2
Z7106	1166	34.32	35.8	3.7	1
Z7106	1166	35.8	37.07	5.4	1.5
Z7106	1166	37.07	38.71	3.7	1
Z7106	1166	38.71	40.64	5.5	2
Z7106	1166	40.64	41.31	3.7	1
Z7106	1166	41.31	45.322	3.7	1
Z7106	1166	45.322	48.789	3.7	1
