roadNo	roadId	startChainage	endChainage	width	nrLanes
R114	1475	0	0.052	12.1	4
R114	1475	0.052	0.105	12	3
R114	1475	0.105	4.05	5.54	2
R114	1475	4.05	6.9	5.54	2
R114	1475	6.9	9.22	5.58	2
R114	1475	9.22	9.33	7.74	2
R114	1475	9.33	9.41	13.2	4
R114	1475	9.41	9.47	10.6	3
R114	1475	9.47	9.96	6.9	2
R114	1475	9.96	10.69	5.62	2
R114	1475	10.69	10.82	7.3	2
R114	1475	10.82	13.42	5.61	2
R114	1475	13.42	16.65	7.3	2
R114	1475	16.65	20.46	5.62	2
R114	1475	20.46	25.825	5.56	2
R114	1475	25.825	25.925	10.8	3
R114	1475	25.925	27.585	5.62	2
R114	1475	27.585	27.72	11.09	4
R114	1475	27.72	28.06	5.6	2
R114	1475	28.06	28.22	6.8	3
R114	1475	28.22	29.434	3.7	1
R114	1475	29.434	35.547	7.5	2
R114	1475	35.547	40.048	5.5	2
R114	1475	40.048	41.45	7	2
R114	1475	41.45	42.949	5.5	2
R114	1475	42.949	44.437	7.3	2
R114	1475	44.437	46.436	5.5	2
