road	R681
name	Ujanpara-Bijoynagar Road (Old Part)
length	13
from	Bijoynagar
to	Ujanpara / Matikata
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1369
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1369&RoadNo=R681
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1369&RoadNo=R681
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1369&RoadNo=R681
