road	R743
name	Jibannagar-Duttanagar Road
length	5
from	Jibannagar
to	Duttanagar
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1702
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1702&RoadNo=R743
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1702&RoadNo=R743
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1702&RoadNo=R743
