road	R880
name	Patuakhali-Amtali-Barguna-Kacchira Road
length	56
from	Patuakhali Chourasta
to	Kacchira
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1584
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1584&RoadNo=R880
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1584&RoadNo=R880
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1584&RoadNo=R880
