road	Z1013
name	Tonkabati-Baro Aulia Road
length	20
from	Tonkabati
to	Bara Aulia
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1018
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1018&RoadNo=Z1013
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1018&RoadNo=Z1013
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1018&RoadNo=Z1013
