road	R770
name	Noapara-Bagerhat-Pirojpur Road
length	43
from	Noapara
to	Pirojpur (CO office More)
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1193
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1193&RoadNo=R770
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1193&RoadNo=R770
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1193&RoadNo=R770
