road	R247
name	Shahi Eidgaon - Kumarpara Road
length	1
from	Shahi Eidgaon
to	Kumarpara
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1448
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1448&RoadNo=R247
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1448&RoadNo=R247
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1448&RoadNo=R247
