road	Z7801
name	Chitalmari-Fakirhat (Faltita) Road
length	23
from	Chitalmari
to	Faltita
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1172
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1172&RoadNo=Z7801
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1172&RoadNo=Z7801
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1172&RoadNo=Z7801
