road	Z2834
name	Sunamganj-Netrokona-Mymensingh-Sherpur-Jamalpur(Dhanua Kamalpur)Border Road
length	171
from	Sylhet (Narayantala)
to	Dhanuak-amalpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1653
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1653&RoadNo=Z2834
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1653&RoadNo=Z2834
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1653&RoadNo=Z2834
