roadNo	roadId	startChainage	endChainage	width	nrLanes
Z6813	864	0	0.025	19.7	5
Z6813	864	0.025	0.08	16	4
Z6813	864	0.08	0.5	5.9	2
Z6813	864	0.5	4	5.5	2
Z6813	864	4	6.04	5.4	1.5
Z6813	864	6.04	20.8	5.5	2
Z6813	864	20.8	21.8	5.2	1.5
Z6813	864	21.8	28.5	5.5	2
Z6813	864	28.5	28.7	6.1	2
Z6813	864	28.7	42.92	5.5	2
Z6813	864	42.92	43	7.3	2
Z6813	864	43	48	3.7	1
Z6813	864	48	48.4	5.5	2
Z6813	864	48.4	50.75	3.7	1
Z6813	864	50.75	54.7	5.5	2
Z6813	864	54.7	55.3	3.7	1
Z6813	864	55.3	55.4	5.5	2
Z6813	864	55.4	59.2	3.7	1
Z6813	864	59.2	59.95	5.5	2
