road	Z7709
name	Priojpur Kheya Ghat-Hularhat Road
length	6
from	Pirojpur Kheyaghat
to	Hularhat
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1299
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1299&RoadNo=Z7709
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1299&RoadNo=Z7709
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1299&RoadNo=Z7709
