roadNo	roadId	startChainage	endChainage	width	nrLanes
Z1052	1600	0	0.015	8.9	2
Z1052	1600	0.015	3.49	5.5	2
Z1052	1600	3.49	3.83	5.2	1.5
Z1052	1600	3.83	4.48	5.2	1.5
Z1052	1600	4.48	5.71	5.2	1.5
Z1052	1600	5.71	6.26	5.35	1.5
Z1052	1600	6.26	6.98	5.35	1.5
Z1052	1600	6.98	7.03	11	3
Z1052	1600	7.03	7.43	5.35	1.5
Z1052	1600	7.43	10.03	5.5	2
Z1052	1600	10.03	10.38	5.2	1.5
Z1052	1600	10.38	10.93	3	1
Z1052	1600	10.93	11.29	5	1.5
Z1052	1600	11.29	11.83	3	1
Z1052	1600	11.83	12.23	3	1
Z1052	1600	12.23	12.34	5	1.5
Z1052	1600	12.34	12.88	3.2	1
Z1052	1600	12.88	12.93	3.2	1
Z1052	1600	12.93	13.28	3.2	1
Z1052	1600	13.28	13.31	3.2	1
Z1052	1600	13.31	13.43	5.2	1.5
Z1052	1600	13.43	13.71	5	1.5
Z1052	1600	13.71	13.74	5	1.5
Z1052	1600	13.74	14.13	3.5	1
Z1052	1600	14.13	14.93	2.9	1
Z1052	1600	14.93	15.78	3.8	1
Z1052	1600	15.78	16.13	2.9	1
Z1052	1600	16.13	16.73	2.9	1
Z1052	1600	16.73	18.18	3.8	1
Z1052	1600	18.18	18.93	2.9	1
Z1052	1600	18.93	19.37	3.8	1
Z1052	1600	19.37	20.49	3.5	1
Z1052	1600	20.49	22.193	2.9	1
Z1052	1600	22.193	23.6	3	1
