road	Z5561
name	Madhayapara-Aftabganj-Nawabganj Road
length	17
from	Madhayapara Hard Rock
to	Nawabganj
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1034
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1034&RoadNo=Z5561
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1034&RoadNo=Z5561
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1034&RoadNo=Z5561
