roadNo	roadId	startChainage	endChainage	width	nrLanes
R250	1382	0	0.015	15	4
R250	1382	0.015	0.45	8.2	2
R250	1382	0.45	1.11	8.1	2
R250	1382	1.11	2.7	10.83	3
R250	1382	2.7	4.1	10.96	3.5
R250	1382	4.1	5.8	11.04	4
R250	1382	5.8	7.24	11.05	4
R250	1382	7.24	8.4	5.75	2
R250	1382	8.4	9.75	5.7	2
R250	1382	9.75	10.3	11.16	4
R250	1382	10.3	11.4	5.56	2
R250	1382	11.4	13.3	5.58	2
R250	1382	13.3	14.2	5.6	2
R250	1382	14.2	15.29	5.58	2
R250	1382	15.29	16.6	6.68	3
R250	1382	16.6	17.77	11.19	4
R250	1382	17.77	19.2	5.52	2
R250	1382	19.2	20.4	5.56	2
R250	1382	20.4	22.3	5.42	1.5
R250	1382	22.3	22.55	11.13	4
R250	1382	22.55	22.9	5.49	1.5
R250	1382	22.9	24.1	5.56	2
R250	1382	24.1	25.75	5.6	2
R250	1382	25.75	27.2	5.6	2
R250	1382	27.2	28.6	5.61	2
R250	1382	28.6	29.7	5.6	2
R250	1382	29.7	31.78	5.58	2
R250	1382	31.78	32.085	10.97	3.5
R250	1382	32.085	33.68	5.58	2
R250	1382	33.68	35.2	5.58	2
R250	1382	35.2	36.9	5.6	2
R250	1382	36.9	38.1	5.56	2
R250	1382	38.1	39.6	5.6	2
R250	1382	39.6	41.36	5.6	2
R250	1382	41.36	41.6	10.99	3.5
R250	1382	41.6	42.4	5.6	2
R250	1382	42.4	44.2	5.6	2
R250	1382	44.2	46.1	5.5	2
R250	1382	46.1	47.9	5.5	2
R250	1382	47.9	49.2	5.6	2
R250	1382	49.2	50.7	5.6	2
R250	1382	50.7	52.3	5.5	2
R250	1382	52.3	54.1	5.49	1.5
R250	1382	54.1	56.2	5.48	1.5
R250	1382	56.2	57.85	5.48	1.5
R250	1382	57.85	59.3	5.5	2
R250	1382	59.3	61.4	5.47	1.5
R250	1382	61.4	62.7	5.5	2
R250	1382	62.7	64.1	5.43	1.5
R250	1382	64.1	65.7	5.47	1.5
R250	1382	65.7	67.3	5.49	1.5
R250	1382	67.3	68.9	5.61	2
R250	1382	68.9	70.2	5.48	1.5
R250	1382	70.2	71.7	5.5	2
R250	1382	71.7	73.2	5.4	1.5
R250	1382	73.2	74.9	5.44	1.5
R250	1382	74.9	76.3	5.51	2
R250	1382	76.3	77.9	5.49	1.5
R250	1382	77.9	79.4	5.47	1.5
R250	1382	79.4	81.1	5.6	2
R250	1382	81.1	82.8	5.54	2
R250	1382	82.8	84.2	5.47	1.5
R250	1382	84.2	85.7	5.53	2
R250	1382	85.7	87.2	5.53	2
R250	1382	87.2	88.95	5.6	2
R250	1382	88.95	89.22	5.55	2
R250	1382	89.22	89.42	11.09	3.5
R250	1382	89.42	89.48	5.58	2
R250	1382	89.48	89.7	3.8	1
