road	Z6014
name	Bonpara-Gopalpur-Lalpur Road
length	19
from	Banpara
to	Lalpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1047
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1047&RoadNo=Z6014
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1047&RoadNo=Z6014
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1047&RoadNo=Z6014
