road	R747
name	Kustia(Bottoli)-Poradah-AlamDanga-Chuadanga Road
length	43
from	Kustia
to	Chuadanga
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=885
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=885&RoadNo=R747
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=885&RoadNo=R747
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=885&RoadNo=R747
