road	Z8412
name	Bajunia-Gaindasur Road
length	13
from	Bajunia
to	Gaindhasur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1115
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1115&RoadNo=Z8412
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1115&RoadNo=Z8412
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1115&RoadNo=Z8412
