road	Z8032
name	Kotalipara-Rajoir Road
length	28
from	Kotalipara
to	Rajoir
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=1767
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=1767&RoadNo=Z8032
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1767&RoadNo=Z8032
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=1767&RoadNo=Z8032
