road	R860
name	Mostafapur-Madaripur-Shariatpur (Monohar Bazar)-Ibrahimpur-Harina-Chandpur (Bhatialpur) Road
length	75
from	Mostafapur
to	Bhatialpur
detail-file	http://www.rhd.gov.bd/RoadDatabase/roaddetail.asp?RoadID=890
traffic-file	http://www.rhd.gov.bd/RoadDatabase/roadlinktraffic.asp?RoadID=890&RoadNo=R860
lrp-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=890&RoadNo=R860
divisions-file	http://www.rhd.gov.bd/RoadDatabase/roadlrp.asp?RoadID=890&RoadNo=R860
